id,date,dir,open_date,close_date,open_price,close_price,profit,exit_type,r
201003-001,2010-03-08,-1,2010-01-22 00:00:00,2010-03-08 00:00:00,8019,7729,290,stp,163
201005-001,2010-05-05,1,2010-03-09 00:00:00,2010-05-05 00:00:00,7771,7690,-81,stp,156
201006-001,2010-06-14,-1,2010-05-06 00:00:00,2010-06-14 00:00:00,7643,7356,287,stp,153
201008-001,2010-08-25,1,2010-07-08 00:00:00,2010-08-25 00:00:00,7568,7764,196,stp,151
201008-002,2010-08-30,-1,2010-08-26 00:00:00,2010-08-30 00:00:00,7635,7788,-153,stp,153
201009-001,2010-09-03,-1,2010-08-31 00:00:00,2010-09-03 00:00:00,7605,7758,-153,stp,153
201010-001,2010-10-12,1,2010-09-13 00:00:00,2010-10-12 00:00:00,8003,8121,118,stp,161
201010-002,2010-10-25,-1,2010-10-19 00:00:00,2010-10-25 00:00:00,8021,8182,-161,stp,161
201011-001,2010-11-16,1,2010-10-26 00:00:00,2010-11-16 00:00:00,8306,8229,-77,stp,167
